# In this table 2F10 is substituted by 2F0 and 2G10 by 2G0
f1
4D1	3H4	1	-1 -2 -2 -1 1 1
4D2	5D	-1	-1 0 0 -2
4D2	5F	1	-5 0 0 1
4D2	5G	1	-5 1 0 -2 1
4D2	3P2	-1	-2 2 0 -2
4D2	3P3	1	-2 2 -2 -2 1
4D2	3D1	-1	-1 0 -1 -3 0 0 2
4D2	3D2	1	-2 3 -1 -3 1
4D2	3F2	1	-5 -1 0 1
4D2	3F3	1	-3 0 -1 -1 1
4D2	3F4	1	-3 -1 -2 -1 1 1
4D2	3G1	1	-5 1 -1 -3 1 0 2
4D2	3G2	1	-3 2 -2 -3 0 1
4D2	3G3	-1	-3 2 -2 -1 1
4D2	3H2	-1	-1 -1 0 -2 1
4D2	3H3	-1	-2 -1 -2 -1 1 1
4D2	3H4	1	-1 0 -2 -2 1 1
4D3	5D	1	-2 1 0 -2 1
4D3	5G	1	2 0 0 -2
4D3	3P2	1	-1 -1 0 -2 1
4D3	3P3	1	-1 -1 -2 -2 0 0 2
4D3	3D1	1	-2 3 -1 -3 1
4D3	3D2	1	1 0 1 -3
4D3	3F3	1	4 -1 -1 -1
4D3	3F4	-1	0 0 -2 -1 0 1
4D3	3G1	1	2 2 -1 -3
4D3	3G2	-1	4 -1 -2 -3 1 1
4D3	3G3	-1	0 -1 0 -1
4D3	3H2	-1	-2 2 0 -2
4D3	3H3	1	1 0 -2 -1 0 1
4D3	3H4	-1	-2 -1 0 -2 0 1
4F1	5S	-1	-2 0 0 -1
4F1	5D	-1	-5 0 1 -1
4F1	5F	-1	-5 1
4F1	5G	-1	-5 2 0 -1
4F1	5I	-1	-5 0 0 -1 0 1
4F1	3P1	1	1 1 -2 -1
4F1	3P2	-1	-3 3 -2 -1
4F1	3D1	1	-5
4F1	3F1	-1	3 0 -2
4F1	3F2	1	-5 2 -2
4F1	3G1	1	-5 2 -1
4F1	3H1	1	1 0 -2 -1 1
4F1	3H2	-1	-3 2 -2 -1 1
4F1	3I1	1	-5 0 -1 0 0 1
4F2	5S	1	-2 3 -1 -1
4F2	5D	-1	-5 -3 0 -1
4F2	5F	-1	-5 2 -1
4F2	5G	-1	-5 -1 -1 -1
4F2	5I	-1	-5 -3 -1 -1 0 1
4F2	3P2	-1	-3 0 1 -1
4F2	3D1	-1	-5 -1 1
4F2	3F2	1	-5 -1 1
4F2	3G1	-1	-5 1
4F2	3H2	-1	-3 -1 1 -1 1
4F2	3I1	-1	-5 -1 0 0 0 1
4F3	5D	-1	-3 -2 1 -1 1
4F3	5G	-1	1 0 0 -1 -1
4F3	5I	1	-3 -2 0 1 -1 1
4F3	3P2	1	-3 -1 0 -1 1
